Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
640,17.525,11.9,0.0
641,34.724999999999994,11.8,0.0
642,38.075,11.8,0.0
643,23.625,11.8,0.0
644,35.925,11.8,0.09999999999999432
645,55.325,12.2,0.09999999999999432
646,56.5,12.2,0.09999999999999432
647,54.325,11.9,0.09999999999999432
648,50.625,12.3,0.09999999999999432
649,53.175,14.0,0.09999999999999432
650,78.875,15.7,0.09999999999999432
651,77.9,16.4,0.09999999999999432
652,78.875,17.0,0.09999999999999432
653,80.25,17.3,0.09999999999999432
654,95.25,18.0,0.09999999999999432
655,99.75,19.5,0.09999999999999432
656,100.0,20.1,0.09999999999999432
657,100.0,19.7,0.09999999999999432
658,99.75,19.9,0.09999999999999432
659,99.75,20.9,0.09999999999999432
660,100.0,22.5,0.09999999999999432
661,100.0,23.7,0.09999999999999432
662,100.0,24.1,0.09999999999999432
663,99.75,24.6,0.09999999999999432
664,99.5,25.1,0.09999999999999432
665,99.5,18.8,0.09999999999999432
666,99.5,20.8,0.09999999999999432
667,100.0,22.0,0.09999999999999432
668,100.0,22.4,0.09999999999999432
669,100.0,22.8,0.09999999999999432
670,100.0,23.8,0.09999999999999432
671,100.0,20.7,0.09999999999999432
672,99.75,22.1,0.09999999999999432
673,100.0,23.2,0.09999999999999432
674,100.0,23.4,0.09999999999999432
675,100.0,23.8,0.09999999999999432
676,100.0,20.7,0.09999999999999432
677,100.0,21.8,0.09999999999999432
678,100.0,22.6,0.09999999999999432
679,100.0,22.8,0.09999999999999432
680,100.0,23.0,0.09999999999999432
681,100.0,23.7,0.09999999999999432
682,100.0,24.4,0.09999999999999432
683,100.0,25.0,0.09999999999999432
684,100.0,25.6,0.09999999999999432
685,100.0,25.9,0.09999999999999432
686,100.0,26.2,0.09999999999999432
687,100.0,26.8,0.09999999999999432
688,100.0,27.4,0.09999999999999432
689,100.0,23.3,0.09999999999999432
690,100.0,20.5,0.09999999999999432
691,100.0,22.4,0.09999999999999432
692,100.0,23.1,0.09999999999999432
693,100.0,24.1,0.09999999999999432
694,100.0,24.9,0.09999999999999432
695,100.0,26.1,0.09999999999999432
696,100.0,22.8,0.09999999999999432
697,100.0,23.8,0.09999999999999432
698,100.0,21.8,0.09999999999999432
699,100.0,20.6,0.09999999999999432
700,100.0,17.6,0.09999999999999432
701,100.0,19.3,0.09999999999999432
702,100.0,20.8,0.09999999999999432
703,100.0,21.7,0.09999999999999432
704,100.0,22.4,0.09999999999999432
705,100.0,20.7,0.09999999999999432
706,100.0,22.2,0.09999999999999432
707,100.0,22.8,0.09999999999999432
708,100.0,22.9,0.09999999999999432
709,100.0,20.5,0.09999999999999432
710,100.0,21.7,0.09999999999999432
711,100.0,22.5,0.09999999999999432
712,100.0,22.6,0.09999999999999432
713,100.0,22.9,0.09999999999999432
714,100.0,23.5,0.09999999999999432
715,100.0,24.4,0.09999999999999432
716,100.0,24.9,0.09999999999999432
717,100.0,25.4,0.09999999999999432
718,100.0,25.9,0.09999999999999432
719,100.0,26.0,0.09999999999999432
720,100.0,26.6,0.09999999999999432
721,100.0,27.2,0.09999999999999432
722,100.0,23.1,0.09999999999999432
723,99.75,20.4,0.09999999999999432
724,100.0,22.4,0.09999999999999432
725,100.0,23.1,0.09999999999999432
726,100.0,24.0,0.09999999999999432
727,100.0,24.9,0.09999999999999432
728,100.0,25.6,0.09999999999999432
729,100.0,22.1,0.09999999999999432
730,100.0,23.8,0.09999999999999432
731,100.0,24.4,0.09999999999999432
732,100.0,24.6,0.09999999999999432
733,100.0,15.6,0.09999999999999432
734,100.0,18.3,0.09999999999999432
735,100.0,20.3,0.09999999999999432
736,100.0,20.9,0.09999999999999432
737,100.0,21.5,0.09999999999999432
738,100.0,22.4,0.09999999999999432
739,100.0,20.5,0.09999999999999432
740,100.0,21.7,0.09999999999999432
741,100.0,22.7,0.09999999999999432
742,100.0,22.7,0.09999999999999432
743,100.0,22.9,0.09999999999999432
744,100.0,20.9,0.09999999999999432
745,100.0,22.2,0.09999999999999432
746,100.0,23.4,0.09999999999999432
747,100.0,23.9,0.09999999999999432
748,100.0,24.2,0.09999999999999432
749,100.0,25.0,0.09999999999999432
750,99.75,18.5,0.09999999999999432
751,100.0,20.4,0.09999999999999432
752,100.0,22.0,0.09999999999999432
753,100.0,22.3,0.09999999999999432
754,100.0,22.7,0.09999999999999432
755,100.0,23.6,0.09999999999999432
756,100.0,20.6,0.09999999999999432
757,100.0,22.2,0.09999999999999432
758,100.0,23.2,0.09999999999999432
759,100.0,23.4,0.09999999999999432
760,100.0,23.7,0.09999999999999432
761,100.0,21.4,0.09999999999999432
762,100.0,22.8,0.09999999999999432
763,100.0,17.4,0.09999999999999432
764,100.0,19.4,0.09999999999999432
765,100.0,21.0,0.09999999999999432
766,100.0,21.3,0.09999999999999432
767,100.0,22.0,0.09999999999999432
768,100.0,22.9,0.09999999999999432
769,100.0,20.4,0.09999999999999432
770,100.0,21.5,0.09999999999999432
771,100.0,22.5,0.09999999999999432
772,100.0,22.9,0.09999999999999432
773,100.0,23.2,0.09999999999999432
774,100.0,20.8,0.09999999999999432
775,100.0,22.1,0.09999999999999432
776,100.0,23.1,0.09999999999999432
777,100.0,23.6,0.09999999999999432
778,100.0,18.4,0.09999999999999432
779,99.5,19.1,0.09999999999999432
780,100.0,20.8,0.09999999999999432
781,100.0,21.7,0.09999999999999432
782,100.0,22.3,0.09999999999999432
783,100.0,22.8,0.09999999999999432
784,100.0,20.0,0.09999999999999432
785,100.0,21.5,0.09999999999999432
786,100.0,23.1,0.09999999999999432
787,100.0,23.4,0.09999999999999432
788,100.0,23.7,0.09999999999999432
789,100.0,15.2,0.09999999999999432
790,99.75,17.8,0.09999999999999432
791,100.0,20.3,0.09999999999999432
792,100.0,20.9,0.09999999999999432
793,100.0,21.3,0.09999999999999432
794,100.0,22.0,0.09999999999999432
795,100.0,20.6,0.09999999999999432
796,100.0,22.0,0.09999999999999432
797,100.0,22.8,0.09999999999999432
798,100.0,22.7,0.09999999999999432
799,100.0,22.9,0.09999999999999432
800,100.0,20.8,0.09999999999999432
801,100.0,21.8,0.09999999999999432
802,100.0,22.4,0.09999999999999432
803,100.0,23.0,0.09999999999999432
804,100.0,23.6,0.09999999999999432
805,100.0,24.4,0.09999999999999432
806,100.0,24.9,0.09999999999999432
807,100.0,18.3,0.09999999999999432
808,100.0,20.0,0.09999999999999432
809,100.0,21.6,0.09999999999999432
810,100.0,22.1,0.09999999999999432
811,100.0,22.6,0.09999999999999432
812,100.0,19.7,0.09999999999999432
813,100.0,21.2,0.09999999999999432
814,100.0,23.1,0.09999999999999432
815,100.0,23.5,0.09999999999999432
816,100.0,17.9,0.09999999999999432
817,100.0,16.2,0.09999999999999432
818,100.0,19.0,0.09999999999999432
819,100.0,20.7,0.09999999999999432
820,100.0,21.1,0.09999999999999432
821,100.0,18.8,0.09999999999999432
822,100.0,20.1,0.09999999999999432
823,100.0,21.8,0.09999999999999432
824,100.0,23.0,0.09999999999999432
825,100.0,23.1,0.09999999999999432
826,100.0,20.3,0.09999999999999432
827,100.0,15.5,0.09999999999999432
828,100.0,18.3,0.09999999999999432
829,100.0,20.3,0.09999999999999432
830,100.0,20.9,0.09999999999999432
831,100.0,21.4,0.09999999999999432
832,100.0,19.1,0.09999999999999432
833,100.0,21.0,0.09999999999999432
834,100.0,22.8,0.09999999999999432
835,100.0,23.0,0.09999999999999432
836,99.75,17.2,0.09999999999999432
837,87.875,15.3,0.09999999999999432
838,95.65,15.7,0.09999999999999432
839,92.25,16.8,0.09999999999999432
840,99.25,16.9,0.09999999999999432
841,89.47500000000001,14.3,0.09999999999999432
842,68.95,14.9,0.09999999999999432
843,94.475,15.8,0.09999999999999432
844,94.75,16.1,0.09999999999999432
845,93.025,13.5,0.09999999999999432
846,95.7,14.2,0.09999999999999432
847,62.425,14.0,0.09999999999999432
848,47.75,14.1,0.09999999999999432
849,25.35,14.4,0.09999999999999432
850,42.875,14.7,0.09999999999999432
851,64.325,15.2,0.09999999999999432
852,40.45,15.6,0.09999999999999432
853,27.425,15.9,0.09999999999999432
854,32.7,16.4,0.09999999999999432
855,20.775,16.6,0.09999999999999432
856,14.9,16.6,0.09999999999999432
857,16.925,16.9,0.09999999999999432
858,25.575,16.8,0.09999999999999432
859,21.125,17.0,0.09999999999999432
860,20.775,17.2,0.09999999999999432
861,12.5,17.2,0.09999999999999432
862,20.375,17.4,0.09999999999999432
863,32.975,17.5,0.09999999999999432
864,37.85,17.7,0.09999999999999432
865,27.35,17.8,0.09999999999999432
866,26.3,17.8,0.09999999999999432
867,28.3,17.9,0.09999999999999432
868,11.825,17.9,0.09999999999999432
869,21.25,18.1,0.09999999999999432
870,50.275,18.5,0.09999999999999432
871,53.375,19.0,0.09999999999999432
872,54.45,19.1,0.09999999999999432
873,47.74999999999999,19.2,0.09999999999999432
874,41.675,19.3,0.09999999999999432
875,35.675,19.5,0.09999999999999432
876,56.975,19.9,0.09999999999999432
877,62.675,20.2,0.09999999999999432
878,92.125,20.6,0.09999999999999432
879,99.5,20.9,0.09999999999999432
880,100.0,21.1,0.09999999999999432
881,100.0,21.2,0.09999999999999432
882,100.0,21.6,0.09999999999999432
883,100.0,22.0,0.09999999999999432
884,99.5,22.3,0.09999999999999432
885,99.5,22.5,0.09999999999999432
886,100.0,22.8,0.09999999999999432
